runner,area,line,yards
"demarco murray","right","guard","4"
"dexter mccluster","left","tackle","9"
"dexter mccluster","middle","center","16"
"dexter mccluster","middle","center","-1"
"demarco murray","left","tackle","3"
"demarco murray","left","guard",0
"demarco murray","left","guard","4"
"demarco murray","left","tackle","6"
"demarco murray","right","tackle","6"
"dexter mccluster","middle","center","6"
"jake locker","left","tackle","8"
"lance dunbar","left","tackle","3"
"lance dunbar","right","guard",0
"demarco murray","right","guard","7"
"lance dunbar","right","tackle","3"
"lance dunbar","left","tackle","3"
"demarco murray","right","guard",0
"demarco murray","left","guard","4"
"demarco murray","middle","center","4"
"demarco murray","right","tackle","6"
"demarco murray","left","guard","7"
"demarco murray","left","tackle","5"
"lance dunbar","left","tackle","7"
"lance dunbar","middle","center","3"
"lance dunbar","middle","center","7"
"lance dunbar","left","tackle","5"
"lance dunbar","middle","center",0
"lance dunbar","middle","center","-3"
"chris johnson","middle","center","-1"
"chris ivory","right","tackle","3"
"geno smith","right","tackle","1"
"chris johnson","right","tackle","3"
"geno smith","left","tackle","37"
"geno smith","right","tackle","7"
"chris johnson","left","tackle",0
"eddie lacy","right","tackle","2"
"aaron rodgers","left","tackle","8"
"chris ivory","middle","center","4"
"chris johnson","right","tackle","3"
"tommy bohanon","right","guard","3"
"chris ivory","right","guard","4"
"geno smith","middle","center","9"
"chris johnson","left","tackle","-6"
"bilal powell","middle","center","11"
"chris ivory","right","tackle","6"
"chris ivory","right","tackle","1"
"bilal powell","right","tackle",0
"chris ivory","middle","center","4"
"randall cobb","right","tackle","4"
"randall cobb","right","guard","2"
"eddie lacy","left","tackle",0
"aaron rodgers","left","tackle","11"
"eddie lacy","middle","center","3"
"chris johnson","right","tackle","8"
"chris ivory","right","tackle","9"
"chris ivory","middle","center","2"
"aaron rodgers","left","tackle","11"
"chris johnson","left","guard","2"
"chris johnson","left","tackle",0
"eddie lacy","right","tackle","3"
"eddie lacy","right","tackle","-1"
"chris ivory","middle","center","1"
"chris ivory","left","guard","2"
"eddie lacy","right","tackle","5"
"eddie lacy","middle","center","5"
"john kuhn","middle","center","3"
"chris johnson","left","tackle","4"
"chris johnson","left","tackle","3"
"eddie lacy","middle","center","1"
"eddie lacy","right","guard","4"
"geno smith","right","tackle","7"
"eddie lacy","left","tackle","10"
"eddie lacy","left","guard","4"
"chris ivory","right","guard","5"
"bilal powell","right","tackle","4"
"chris johnson","right","tackle","2"
"chris johnson","middle","center","3"
"bilal powell","middle","center","1"
"chris ivory","right","guard","2"
"eddie lacy","left","tackle","2"
"eddie lacy","left","tackle","5"
"matt forte","right","tackle","-1"
"matt forte","middle","center","2"
"colin kaepernick","left","tackle","5"
"frank gore","middle","center","6"
"frank gore","right","tackle","8"
"colin kaepernick","left","tackle","1"
"carlos hyde","right","guard",0
"matt forte","right","tackle",0
"matt forte","left","tackle","7"
"frank gore","left","tackle","7"
"frank gore","right","guard","2"
"bruce miller","middle","center",0
"matt forte","right","tackle","1"
"matt forte","left","tackle","-1"
"jay cutler","left","tackle","2"
"colin kaepernick","right","guard","15"
"colin kaepernick","left","tackle","2"
"matt forte","right","tackle","1"
"frank gore","left","guard","8"
"jay cutler","middle","center","25"
"matt forte","left","guard","-1"
"frank gore","left","guard",0
"colin kaepernick","left","tackle","9"
"frank gore","left","tackle","7"
"frank gore","middle","center","-1"
"colin kaepernick","left","tackle","12"
"carlos hyde","middle","center","-1"
"frank gore","right","tackle","1"
"carlos hyde","right","tackle","-2"
"frank gore","middle","center","1"
"matt forte","right","tackle","2"
"matt forte","middle","center","1"
"frank gore","right","guard","3"
"matt forte","right","tackle","5"
"matt forte","right","guard","5"
"colin kaepernick","left","tackle","15"
"carlos hyde","right","guard","3"
"frank gore","left","tackle","2"
"colin kaepernick","middle","center","7"
"colin kaepernick","left","tackle","-2"
"joique bell","right","guard","4"
"reggie bush","left","tackle",0
"jonathan stewart","middle","center","1"
"jonathan stewart","left","guard","1"
"joique bell","middle","center","2"
"reggie bush","middle","center","4"
"joique bell","middle","center","3"
"joique bell","right","tackle",0
"jonathan stewart","left","guard","-1"
"theo riddick","left","tackle",0
"reggie bush","left","tackle","8"
"cam newton","left","tackle","13"
"mike tolbert","middle","center","-3"
"joique bell","middle","center","4"
"joique bell","left","tackle","2"
"reggie bush","right","guard","5"
"joique bell","middle","center","-3"
"cam newton","middle","center","3"
"jonathan stewart","right","guard",0
"reggie bush","right","guard","3"
"joique bell","middle","center","12"
"reggie bush","middle","center","6"
"jonathan stewart","right","tackle","7"
"joique bell","left","tackle","6"
"joique bell","left","guard","6"
"jonathan stewart","left","guard","-1"
"jonathan stewart","right","guard","-2"
"mike tolbert","left","tackle",0
"jonathan stewart","right","guard","22"
"cam newton","right","tackle","4"
"mike tolbert","middle","center","-4"
"jonathan stewart","left","guard","2"
"jonathan stewart","left","tackle","2"
"jonathan stewart","right","guard","3"
"jonathan stewart","right","guard","-2"
"jonathan stewart","middle","center","4"
"jonathan stewart","left","guard","-5"
"jonathan stewart","right","guard","6"
"bobby rainey","right","tackle","24"
"bobby rainey","middle","center","4"
"bobby rainey","right","tackle",0
"bobby rainey","left","guard","-2"
"mike james","right","guard","1"
"josh mccown","middle","center","5"
"zac stacy","middle","center","7"
"zac stacy","middle","center","-1"
"zac stacy","right","guard","3"
"tavon austin","right","tackle","18"
"zac stacy","middle","center","9"
"zac stacy","left","guard","3"
"zac stacy","left","guard","2"
"bobby rainey","left","tackle","2"
"bobby rainey","right","tackle","8"
"bobby rainey","left","tackle","-1"
"mike james","right","tackle",0
"mike james","right","tackle",0
"bobby rainey","left","tackle","19"
"zac stacy","left","guard","4"
"tavon austin","right","guard","3"
"bobby rainey","left","guard","-1"
"benny cunningham","right","tackle","-3"
"benny cunningham","middle","center","11"
"bobby rainey","right","tackle","1"
"bobby rainey","middle","center","7"
"bobby rainey","left","tackle","-2"
"zac stacy","middle","center","4"
"zac stacy","left","guard","7"
"benny cunningham","middle","center",0
"bobby rainey","middle","center","8"
"zac stacy","left","tackle","2"
"zac stacy","left","guard","2"
"bobby rainey","left","guard","1"
"bobby rainey","left","guard","4"
"bobby rainey","right","guard","10"
"josh mccown","left","tackle","1"
"zac stacy","left","tackle","12"
"zac stacy","left","guard","6"
"benny cunningham","middle","center","1"
"zac stacy","middle","center","3"
"bobby rainey","left","guard","18"
"bobby rainey","left","tackle","-3"
"bobby rainey","left","guard","6"
"bobby rainey","left","guard","3"
"zac stacy","right","guard","3"
"kenny britt","right","tackle","12"
"benny cunningham","middle","center","4"
"bobby rainey","left","guard","7"
"bobby rainey","left","tackle","31"
"mike james","right","tackle","8"
"mike james","left","tackle",0
"mike james","left","tackle","-2"
"zac stacy","right","tackle","1"
"zac stacy","middle","center","1"
"benny cunningham","middle","center","2"
"zac stacy","right","guard",0
"zac stacy","right","guard","3"
"terrance west","right","tackle","4"
"terrance west","right","tackle","1"
"terrance west","left","guard","3"
"terrance west","left","tackle","4"
"isaiah crowell","left","guard","3"
"terrance west","right","guard","-2"
"terrance west","left","guard","2"
"mark ingram","right","tackle","6"
"austin johnson","right","guard","2"
"khiry robinson","right","guard","4"
"terrance west","left","tackle","15"
"terrance west","right","guard","-2"
"isaiah crowell","left","tackle","6"
"terrance west","right","tackle","2"
"khiry robinson","right","tackle","9"
"khiry robinson","right","tackle","6"
"pierre thomas","right","guard","5"
"terrance west","left","tackle","4"
"terrance west","left","guard","5"
"mark ingram","left","tackle","26"
"brandin cooks","left","tackle","28"
"drew brees","middle","center","3"
"khiry robinson","left","tackle","1"
"terrance west","right","guard","2"
"mark ingram","right","tackle","12"
"pierre thomas","right","guard","4"
"terrance west","right","tackle","9"
"terrance west","left","guard","1"
"isaiah crowell","left","guard","3"
"mark ingram","left","guard","6"
"mark ingram","right","tackle","15"
"mark ingram","right","tackle","2"
"isaiah crowell","right","tackle","9"
"isaiah crowell","right","guard","2"
"isaiah crowell","right","guard","-3"
"terrance west","left","tackle","3"
"isaiah crowell","left","tackle","7"
"isaiah crowell","right","guard","17"
"terrance west","left","tackle","4"
"terrance west","left","guard",0
"terrance west","left","tackle","9"
"khiry robinson","left","guard","3"
"khiry robinson","right","guard","2"
"brandin cooks","left","tackle","3"
"mark ingram","right","guard","2"
"pierre thomas","left","guard","7"
"mark ingram","left","tackle","8"
"mark ingram","right","guard","2"
"mark ingram","right","guard","1"
"isaiah crowell","left","tackle","3"
"isaiah crowell","right","guard","5"
"isaiah crowell","right","tackle","2"
"mark ingram","right","guard","3"
"khiry robinson","left","tackle","4"
"austin johnson","right","guard","8"
"khiry robinson","left","tackle","2"
"terrance west","left","guard","4"
"arian foster","left","tackle","9"
"arian foster","left","guard","3"
"arian foster","middle","center","-2"
"arian foster","right","tackle","6"
"arian foster","left","tackle","40"
"arian foster","right","tackle",0
"darren mcfadden","right","tackle","-1"
"darren mcfadden","left","guard","4"
"arian foster","right","tackle",0
"arian foster","left","guard","8"
"alfred blue","left","tackle","-1"
"alfred blue","left","tackle","3"
"arian foster","left","tackle","3"
"arian foster","left","tackle","1"
"arian foster","middle","center","3"
"arian foster","middle","center","5"
"derek carr","right","tackle","41"
"darren mcfadden","right","guard","4"
"jonathan grimes","right","guard","1"
"alfred blue","middle","center","4"
"darren mcfadden","middle","center","4"
"darren mcfadden","left","tackle",0
"arian foster","right","tackle","1"
"arian foster","right","guard","16"
"alfred blue","middle","center","2"
"arian foster","left","tackle","1"
"darren mcfadden","left","guard","6"
"arian foster","right","tackle","1"
"arian foster","middle","center",0
"arian foster","middle","center","1"
"derek carr","right","tackle","3"
"darren mcfadden","left","tackle","2"
"darren mcfadden","right","guard","7"
"darren mcfadden","middle","center","10"
"darren mcfadden","left","tackle","-3"
"arian foster","left","tackle","1"
"arian foster","left","tackle",0
"arian foster","right","guard","3"
"arian foster","right","guard","6"
"arian foster","right","tackle","4"
"arian foster","right","guard","1"
"darren mcfadden","left","tackle","3"
"derek carr","middle","center","2"
"darren mcfadden","left","tackle","1"
"arian foster","right","guard","4"
"arian foster","left","guard","12"
"arian foster","middle","center","5"
"arian foster","right","tackle","6"
"alfred blue","left","tackle","4"
"alfred blue","left","tackle","5"
"alfred blue","left","tackle","11"
"alfred blue","right","tackle","2"
"alfred blue","right","tackle","7"
"alfred blue","right","guard","3"
"jonathan grimes","right","tackle","1"
"alfred blue","middle","center",0
"jonathan grimes","left","guard","7"
"ronnie brown","middle","center","2"
"ronnie brown","left","tackle","1"
"ronnie brown","left","guard","-1"
