runner,area,line,yards
"demarco murray","middle","center","9"
"demarco murray","left","tackle","1"
"demarco murray","left","guard","-5"
"shonn greene","left","guard","5"
"demarco murray","right","guard","9"
"bishop sankey","left","tackle","-1"
"demarco murray","left","tackle","22"
"demarco murray","middle","center","6"
"demarco murray","right","tackle","1"
"joseph randle","left","tackle","11"
"lance dunbar","right","tackle","-1"
"shonn greene","middle","center","7"
"demarco murray","right","tackle","18"
"demarco murray","left","tackle","6"
"demarco murray","right","guard","13"
"demarco murray","right","guard","3"
"shonn greene","left","tackle","12"
"joseph randle","left","tackle","11"
"joseph randle","left","tackle","4"
"demarco murray","left","tackle","12"
"demarco murray","right","guard","2"
"demarco murray","right","tackle",0
"shonn greene","left","guard","3"
"shonn greene","middle","center","13"
"bishop sankey","right","guard","4"
"jake locker","left","tackle","1"
"demarco murray","left","tackle","3"
"demarco murray","middle","center","11"
